Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Burkina Faso,1.9,6.6,4.4,7.8,4.5,8.7,6.3,4.1,5.8,3.0,,8.4,6.6,6.5,5.8,4.3,3.9,6.0,6.2,6.6,5.5,1.9,6.9,1.8,..
Burundi,-0.9,2.1,4.4,-1.2,4.8,0.9,5.4,3.5,4.9,3.8,,5.1,4.0,4.4,4.9,4.2,-3.9,-0.6,0.5,1.6,1.8,0.3,3.1,1.8,..
Cabo Verde,14.3,2.2,5.3,4.2,10.2,6.9,8.0,15.2,7.0,-1.5,,1.8,3.9,1.1,0.6,0.7,0.9,4.3,4.6,3.7,6.9,-20.8,5.6,17.1,..
Cambodia,10.0,8.1,6.6,8.5,10.3,13.3,10.8,10.2,6.7,0.1,,6.0,7.1,7.3,7.4,7.1,7.0,6.9,7.0,7.5,7.1,-3.1,3.0,5.2,..
Cameroon,3.8,4.3,4.5,5.5,7.0,2.2,3.8,4.3,2.8,2.6,,2.9,3.4,4.6,5.0,5.7,5.7,4.5,3.5,4.0,3.5,0.3,3.3,3.6,..
Canada,5.1,1.9,3.0,1.8,3.1,3.2,2.6,2.0,1.0,-2.9,,3.1,3.1,1.8,2.3,2.9,0.6,1.0,3.0,2.7,1.9,-5.0,5.3,3.8,..
Cayman Islands,..,..,..,..,..,..,..,3.2,-0.4,-7.2,,-2.7,1.2,1.2,1.3,2.7,2.8,3.2,3.2,4.3,3.9,-5.1,4.0,3.7,..
Central African Republic,-2.5,4.5,3.6,-5.4,6.0,0.9,4.8,4.6,2.1,8.6,,4.6,4.2,5.1,-36.4,0.1,4.3,4.8,4.5,3.8,3.1,0.9,1.0,0.5,..
Chad,-0.9,11.7,8.5,14.7,33.6,17.3,0.6,3.3,3.1,4.2,,13.6,0.1,8.9,5.7,6.9,2.8,-6.3,-3.0,2.4,3.2,-1.6,-1.2,2.2,..
Channel Islands,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,2.0,1.1,1.3,-8.0,8.6,..,..
Chile,5.0,3.2,3.2,4.7,6.7,5.8,6.0,5.2,3.8,-1.1,,5.9,6.2,6.2,3.3,1.8,2.2,1.8,1.4,4.0,0.7,-6.1,11.7,2.4,..
China,8.5,8.3,9.1,10.0,10.1,11.4,12.7,14.2,9.7,9.4,,10.6,9.6,7.9,7.8,7.4,7.0,6.8,6.9,6.7,6.0,2.2,8.4,3.0,..
Colombia,2.9,1.7,2.5,3.9,5.3,4.8,6.7,6.7,3.3,1.1,,4.5,6.9,3.9,5.1,4.5,3.0,2.1,1.4,2.6,3.2,-7.3,11.0,7.3,..
Comoros,10.8,2.3,2.3,2.1,1.9,2.8,2.6,0.8,4.0,3.2,,3.8,4.1,3.2,4.5,2.1,1.1,3.3,3.8,3.6,1.8,-0.2,2.1,2.4,..
"Congo, Dem. Rep.",-6.9,-2.1,2.9,5.6,6.7,6.1,5.3,6.3,6.2,2.9,,7.1,6.9,7.1,8.5,9.5,6.9,2.4,3.7,5.8,4.4,1.7,6.2,8.9,..
"Congo, Rep.",7.6,3.8,4.6,0.8,3.5,7.8,8.0,-6.6,6.3,11.6,,9.9,2.2,9.9,-0.7,6.6,0.4,-8.7,-5.6,-2.3,1.1,-6.3,1.0,1.5,..
Costa Rica,3.9,3.5,3.4,4.3,4.4,4.0,7.3,8.2,4.7,-0.9,,5.4,4.4,4.9,2.5,3.5,3.7,4.2,4.2,2.6,2.4,-4.3,7.9,4.6,..
Cote d'Ivoire,-0.3,-2.2,-2.7,-4.7,3.2,1.0,2.8,1.1,4.8,3.6,,6.8,-5.4,7.6,10.8,9.4,7.2,7.2,7.4,4.8,6.5,1.7,7.0,6.7,..
Croatia,3.0,3.1,5.8,5.6,4.2,4.3,5.1,5.1,2.0,-7.2,,-1.2,-0.1,-2.3,-0.4,-0.4,2.5,3.6,3.4,2.8,3.4,-8.6,13.8,6.3,..
Cuba,5.9,3.2,1.4,3.8,5.8,11.2,12.1,7.3,4.1,1.5,,2.4,2.8,3.0,2.7,1.0,4.4,0.5,1.8,2.2,-0.2,-10.9,1.3,1.8,..
Curacao,..,-0.7,0.4,0.3,0.2,0.7,1.6,2.5,2.2,-0.5,,0.1,0.5,-0.3,-0.6,-0.6,0.5,-1.1,-1.3,-2.1,-3.2,-18.0,4.2,7.9,..
Cyprus,6.0,4.0,3.7,2.6,5.0,4.9,4.7,5.1,3.6,-2.0,,2.0,0.4,-3.4,-6.6,-1.8,3.4,6.5,5.9,5.7,5.8,-3.4,9.9,5.1,..
Czechia,4.0,3.0,1.6,3.6,4.8,6.6,6.8,5.6,2.7,-4.7,,2.4,1.8,-0.8,0.0,2.3,5.4,2.5,5.2,3.2,3.0,-5.5,3.6,2.4,..
Denmark,3.7,0.8,0.5,0.4,2.7,2.3,3.9,0.9,-0.5,-4.9,,1.9,1.3,0.2,0.9,1.6,2.3,3.2,2.8,2.0,1.5,-2.4,6.8,2.7,..
Djibouti,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,7.1,7.5,7.1,5.5,4.8,5.5,1.3,4.5,3.1,..
Dominica,2.3,-0.1,-2.8,6.4,3.1,0.7,4.7,6.4,7.1,-1.2,,0.7,-0.2,-1.1,-1.0,4.8,-2.7,2.8,-6.6,3.5,5.5,-16.6,6.9,5.6,..
Dominican Republic,4.7,2.5,4.5,-1.3,2.6,9.4,9.2,7.4,3.2,0.9,,8.3,3.1,2.7,4.9,7.1,6.9,6.7,4.7,7.0,5.1,-6.7,12.3,4.9,..
Ecuador,1.1,4.0,4.1,2.7,8.2,5.3,4.4,2.2,6.4,0.6,,3.5,7.9,5.6,4.9,3.8,0.1,-1.2,2.4,1.3,0.0,-7.8,4.2,2.9,..
"Egypt, Arab Rep.",6.4,3.5,2.4,3.2,4.1,4.5,6.8,7.1,7.2,4.7,,5.1,1.8,2.2,2.2,2.9,4.4,4.3,4.2,5.3,5.6,3.6,3.3,6.6,..
El Salvador,1.1,0.9,1.6,1.6,0.9,2.7,4.3,1.8,2.2,-2.1,,2.2,3.8,2.9,2.2,1.7,2.4,2.5,2.3,2.4,2.4,-7.8,11.2,2.6,..
Equatorial Guinea,18.2,63.4,19.5,14.0,38.0,16.7,7.7,15.3,17.8,1.3,,-8.9,6.5,8.3,-4.1,0.4,-9.1,-8.8,-5.7,-6.2,-5.5,-4.8,0.3,3.8,..
