Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Mauritius,8.2,3.3,1.6,5.9,4.3,1.8,4.9,5.7,5.4,3.3,,4.4,4.1,3.5,3.4,3.8,3.7,3.9,3.9,4.0,2.9,-14.5,3.4,8.9,..
Mexico,5.0,-0.5,-0.2,1.2,3.6,2.1,4.8,2.1,0.9,-6.3,,5.0,3.4,3.6,0.9,2.5,2.7,1.8,1.9,2.0,-0.3,-8.7,5.8,3.9,..
"Micronesia, Fed. Sts.",4.8,2.2,0.5,1.6,-3.1,2.0,-0.1,-1.8,-2.4,1.1,,2.3,3.2,-1.9,-3.7,-2.3,4.6,0.9,2.7,0.2,1.2,-2.8,-2.0,-0.8,..
Moldova,2.1,6.1,7.8,6.6,7.4,7.5,4.8,3.0,7.8,-6.0,,7.1,5.8,-0.6,9.0,5.0,-0.3,4.6,4.2,4.1,3.6,-8.3,13.9,-5.0,..
Monaco,3.9,2.2,1.0,1.1,2.5,1.9,5.8,14.4,0.7,-11.3,,2.1,7.0,1.0,9.6,7.2,4.9,3.0,-3.0,5.8,7.1,-13.0,21.9,11.1,..
Mongolia,1.1,3.0,4.7,7.0,10.6,7.3,8.6,10.2,8.9,-1.3,,6.4,17.3,12.3,11.6,7.9,2.4,1.5,5.6,7.7,5.6,-4.6,1.6,5.0,..
Montenegro,3.1,1.1,1.9,2.5,4.4,4.2,8.6,6.8,7.2,-5.8,,2.7,3.2,-2.7,3.5,1.8,3.4,2.9,4.7,5.1,4.1,-15.3,13.0,6.4,..
Morocco,2.6,7.7,3.7,6.2,4.6,3.2,7.8,3.4,5.7,3.7,,3.5,5.5,3.1,4.1,2.7,4.3,0.5,5.1,3.1,2.9,-7.2,8.0,1.3,..
Mozambique,0.8,12.9,9.7,7.2,8.2,6.3,9.9,7.6,6.9,5.9,,6.7,7.1,8.0,6.6,7.7,7.4,4.7,2.6,3.5,2.3,-1.2,2.4,4.4,..
Myanmar,13.7,11.3,12.0,13.8,13.6,13.6,13.1,12.0,10.3,10.6,,9.6,5.6,7.3,8.4,8.0,7.0,6.0,6.1,6.3,6.6,-9.0,-12.0,4.0,..
Namibia,3.5,1.2,4.8,4.2,12.3,2.5,7.1,5.4,2.6,0.3,,6.0,5.1,5.1,5.6,6.1,4.3,0.0,-1.0,1.1,-0.8,-8.1,3.5,7.6,..
Nauru,..,..,..,..,..,-7.8,-8.5,-7.0,65.0,-6.1,,-1.6,9.8,31.3,4.5,15.2,-5.7,8.0,-6.5,7.9,8.3,4.2,3.3,1.6,..
Nepal,6.2,4.8,0.1,3.9,4.7,3.5,3.4,3.4,6.1,4.5,,4.8,3.4,4.7,3.5,6.0,4.0,0.4,9.0,7.6,6.7,-2.4,4.8,5.6,..
Netherlands,4.2,2.3,0.2,0.2,2.0,2.1,3.5,3.8,2.2,-3.7,,1.3,1.6,-1.0,-0.1,1.4,2.0,2.2,2.9,2.4,2.0,-3.9,6.2,4.3,..
New Caledonia,2.1,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,4.0,-1.4,-2.4,-2.1,3.5,..
New Zealand,2.9,3.4,4.7,4.7,4.1,3.4,2.8,3.1,-1.2,-0.1,,1.5,2.2,2.3,2.8,3.8,3.7,3.8,3.5,3.5,2.4,-0.7,5.2,2.9,..
Nicaragua,4.1,3.0,0.8,2.5,5.3,4.3,4.2,5.1,3.4,-3.3,,4.4,6.3,6.5,4.9,4.8,4.8,4.6,4.6,-3.4,-2.9,-1.8,10.3,3.8,..
Niger,-1.2,7.3,4.9,2.2,0.4,7.3,5.9,3.1,7.7,2.0,,8.6,2.4,10.5,5.3,6.6,4.4,5.7,5.0,7.2,5.9,3.6,1.4,11.5,..
Nigeria,5.0,5.9,15.3,7.3,9.3,6.4,6.1,6.6,6.8,8.0,,8.0,5.3,4.2,6.7,6.3,2.7,-1.6,0.8,1.9,2.2,-1.8,3.6,3.3,..
Northern Mariana Islands,..,..,..,0.3,-3.1,-12.7,-6.9,-6.7,-11.1,-17.6,,1.4,-7.4,0.8,2.7,4.2,3.4,29.2,23.2,-19.3,-11.3,-29.7,..,..,..
Norway,3.3,2.1,1.4,0.9,4.0,2.7,2.5,2.9,0.5,-1.9,,0.8,1.1,2.7,1.0,2.0,1.9,1.2,2.5,0.8,1.1,-1.3,3.9,3.0,..
Oman,6.6,4.5,-1.1,-2.7,1.3,2.5,5.4,4.5,8.2,6.1,,1.7,2.9,8.9,5.2,1.3,5.0,5.0,0.3,1.3,-1.1,-3.4,3.1,4.3,..
Pakistan,4.3,3.7,2.6,5.4,7.8,7.3,6.1,4.4,2.1,3.5,,1.5,2.7,3.0,4.4,4.1,4.2,6.6,4.4,6.2,2.5,-1.3,6.5,4.7,..
Palau,..,6.4,3.6,-3.3,4.9,4.0,-0.4,2.0,-5.8,-6.6,,0.2,6.7,1.7,-3.4,6.3,7.5,-0.1,-4.1,1.4,0.2,-7.5,-13.7,..,..
Panama,2.7,0.6,2.2,4.2,7.5,7.2,8.7,12.0,9.9,1.2,,5.8,11.3,9.8,6.9,5.1,5.7,5.0,5.6,3.7,3.3,-17.7,15.8,10.8,..
Papua New Guinea,-2.5,-0.1,-0.2,2.2,2.7,6.3,5.4,7.8,-0.3,6.8,,10.1,1.1,4.7,3.8,13.5,6.6,5.5,3.5,-0.3,4.5,-3.2,-0.8,5.2,..
Paraguay,-2.3,-0.8,0.0,4.3,4.1,2.1,4.8,5.4,6.5,-0.3,,11.1,4.3,-0.7,8.3,5.3,3.0,4.3,4.8,3.2,-0.4,-0.8,4.0,0.1,..
Peru,2.7,0.6,5.5,4.2,5.0,6.3,7.5,8.5,9.1,1.1,,8.3,6.3,6.1,5.9,2.4,3.3,4.0,2.5,4.0,2.2,-10.9,13.4,2.7,..
Philippines,4.4,3.0,3.7,5.1,6.6,4.9,5.3,6.5,4.3,1.4,,7.3,3.9,6.9,6.8,6.3,6.3,7.1,6.9,6.3,6.1,-9.5,5.7,7.6,..
Poland,4.6,1.3,2.0,3.5,5.0,3.5,6.1,7.1,4.2,2.8,,2.9,5.0,1.5,0.9,3.8,4.4,3.0,5.1,5.9,4.4,-2.0,6.9,5.3,..
Portugal,3.8,1.9,0.8,-0.9,1.8,0.8,1.6,2.5,0.3,-3.1,,1.7,-1.7,-4.1,-0.9,0.8,1.8,2.0,3.5,2.8,2.7,-8.3,5.7,6.8,..
Puerto Rico,3.3,6.3,0.9,0.1,8.7,-2.0,-1.4,-1.2,-1.8,-2.0,,-0.4,-0.4,0.0,-0.3,-1.2,-1.0,-1.3,-2.9,-4.4,1.7,-4.2,0.4,3.4,..
Qatar,..,3.9,7.2,3.7,19.2,7.5,26.2,18.0,17.7,12.0,,19.6,13.4,4.7,5.6,5.3,4.8,3.1,-1.5,1.2,0.7,-3.6,1.6,4.2,..
Romania,2.5,5.2,5.7,2.3,10.4,4.7,8.0,7.2,9.3,-5.5,,-3.9,4.5,1.9,0.3,4.1,3.2,2.9,8.2,6.0,3.9,-3.7,5.7,4.6,..
Russian Federation,10.0,5.1,4.7,7.3,7.2,6.4,8.2,8.5,5.2,-7.8,,4.5,4.3,4.0,1.8,0.7,-2.0,0.2,1.8,2.8,2.2,-2.7,5.6,-2.1,..
Rwanda,8.4,8.5,13.2,2.2,7.4,9.4,9.2,7.6,11.2,6.2,,7.3,8.0,8.6,4.7,6.2,8.9,6.0,3.9,8.5,9.5,-3.4,10.9,8.2,..
Samoa,5.1,7.4,5.7,5.2,3.1,6.6,2.1,0.5,3.6,-0.5,,6.1,3.8,-3.7,0.1,0.7,3.9,8.0,1.4,-0.6,4.5,-3.1,-7.1,-5.3,..
San Marino,2.2,5.6,0.3,3.9,4.5,2.4,3.8,7.1,-0.5,-10.3,,-5.5,-8.3,-7.0,-0.8,-0.7,2.3,2.3,0.3,1.5,2.1,-6.6,8.5,..,..
Sao Tome and Principe,..,..,3.4,8.3,3.5,6.6,8.9,3.6,6.2,3.3,,1.4,2.0,2.9,5.1,4.9,1.5,5.2,4.1,4.4,2.0,2.6,1.9,0.1,..
Saudi Arabia,5.6,-1.2,-2.8,11.2,8.0,5.6,2.8,1.8,6.2,-2.1,,5.0,11.0,5.4,2.9,4.0,4.7,2.4,-0.1,2.8,0.8,-4.3,4.3,8.7,..
Senegal,3.9,4.3,0.1,5.6,4.6,4.3,2.3,2.8,3.7,2.8,,3.4,1.3,4.0,2.4,6.2,6.4,6.4,7.4,6.2,4.6,1.3,6.5,4.2,..
Serbia,6.1,6.9,6.4,4.4,9.0,5.5,5.1,6.4,5.7,-2.7,,0.7,2.0,-0.7,2.9,-1.6,1.8,3.3,2.1,4.5,4.3,-0.9,7.7,2.5,..
Seychelles,4.3,-2.3,1.2,-5.9,-2.9,9.0,9.4,8.9,-2.7,-2.5,,4.5,9.5,3.1,1.3,4.1,4.2,5.1,2.8,3.7,4.9,-7.7,5.4,9.0,..
Sierra Leone,6.7,-6.3,26.5,9.5,6.5,4.4,4.3,8.0,5.4,3.2,,6.6,6.0,15.2,21.1,4.6,-20.5,6.3,3.8,3.5,5.3,-2.0,4.1,3.5,..
Singapore,9.0,-1.1,3.9,4.5,9.9,7.4,9.0,9.0,1.9,0.1,,14.5,6.2,4.4,4.8,3.9,3.0,3.6,4.5,3.6,1.3,-3.9,8.9,3.6,..
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,,3.2,4.6,1.4,1.3,1.6,0.1,1.0,-7.5,-6.9,11.0,-13.3,4.6,9.8,..
Slovak Republic,1.2,3.3,4.5,5.5,5.3,6.6,8.5,10.8,5.6,-5.5,,6.7,2.7,1.3,0.6,2.7,5.2,1.9,2.9,4.0,2.5,-3.3,4.8,1.8,..
Slovenia,3.7,3.2,3.5,3.0,4.4,3.8,5.7,7.0,3.5,-7.5,,1.3,0.9,-2.6,-1.0,2.8,2.2,3.2,4.8,4.5,3.5,-4.2,8.2,2.5,..
Solomon Islands,-14.3,-8.0,-2.8,6.5,7.7,7.4,4.1,3.6,6.2,2.9,,9.7,7.4,2.5,5.2,1.2,1.7,5.6,3.1,2.7,1.7,-3.4,-0.6,-4.1,..
Somalia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,7.5,9.9,6.4,9.5,3.0,3.6,-2.6,3.3,2.4,..
South Africa,4.2,2.7,3.7,2.9,4.6,5.3,5.6,5.4,3.2,-1.5,,3.0,3.2,2.4,2.5,1.4,1.3,0.7,1.2,1.6,0.3,-6.0,4.7,1.9,..
South Sudan,..,..,..,..,..,..,..,..,..,5.0,,5.5,-4.6,-46.1,13.1,3.4,-10.8,..,..,..,..,..,..,..,..
Spain,5.2,3.9,2.7,3.0,3.1,3.7,4.1,3.6,0.9,-3.8,,0.2,-0.8,-3.0,-1.4,1.4,3.8,3.0,3.0,2.3,2.0,-11.2,6.4,5.8,..
Sri Lanka,6.0,-1.5,4.0,5.9,5.4,6.2,7.7,6.8,6.0,3.5,,8.0,8.7,8.6,4.1,6.4,4.2,5.1,6.5,2.3,-0.2,-4.6,3.5,-7.8,..
St. Kitts and Nevis,10.0,5.3,1.4,-3.9,4.0,9.7,3.2,0.6,11.2,-3.4,,0.0,1.6,-0.5,5.7,7.6,0.7,3.9,0.0,2.1,4.0,-14.6,-0.9,8.8,..
St. Lucia,0.0,-3.4,0.4,4.3,7.3,-0.4,6.2,1.7,4.9,-2.8,,0.3,4.3,-0.1,-2.0,1.3,0.1,3.4,3.4,2.9,-0.7,-24.4,12.2,15.9,..
St. Martin (French part),..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,1.0,5.0,-8.0,-8.0,6.5,-12.5,4.9,..,..
St. Vincent and the Grenadines,1.6,1.7,5.3,6.7,4.1,2.5,7.0,3.3,0.4,-1.4,,-4.5,-0.6,1.2,2.5,1.1,2.8,4.1,1.5,3.2,0.7,-3.7,0.8,4.9,..
Sudan,6.3,6.5,6.0,6.3,5.1,5.6,6.5,5.7,3.8,-2.8,,3.9,-3.2,-17.0,2.0,4.7,1.9,3.5,0.7,-2.7,-2.2,-3.6,-1.9,-1.0,..
Suriname,2.1,4.2,2.8,6.3,8.5,4.5,5.8,5.1,4.1,3.0,,5.2,5.8,2.7,2.9,0.3,-3.4,-4.9,1.6,4.9,1.2,-16.0,-2.4,2.4,..
Eswatini,1.8,1.1,4.4,3.9,3.6,6.0,6.0,4.4,0.8,1.6,,3.8,2.2,5.4,3.9,0.9,2.2,1.1,2.0,2.4,2.7,-1.6,10.7,0.5,..
Sweden,4.8,1.4,2.2,2.3,4.3,2.9,4.7,3.4,-0.5,-4.3,,6.0,3.2,-0.6,1.2,2.7,4.5,2.1,2.6,2.0,2.0,-2.2,6.1,2.9,..
Switzerland,4.0,1.6,-0.1,0.0,2.7,2.7,4.1,3.9,2.8,-2.3,,3.2,1.8,1.2,1.8,2.3,1.6,2.1,1.4,2.9,1.1,-2.1,5.4,2.6,..
Syrian Arab Republic,0.7,1.0,4.0,7.2,6.9,6.2,5.0,5.7,4.5,5.9,,5.2,2.9,-26.3,-26.3,-10.3,-4.2,-6.4,-0.7,1.4,1.2,-0.2,1.3,..,..
Tajikistan,8.3,9.6,10.8,11.0,10.3,6.7,7.0,7.8,7.9,3.9,,6.5,7.4,7.5,7.4,6.7,6.0,6.9,7.1,7.6,7.4,4.4,9.4,8.0,..
Tanzania,4.5,6.1,7.1,6.7,7.5,7.5,6.5,6.8,5.7,5.3,,6.3,7.7,4.5,6.8,6.7,6.2,6.9,6.7,5.5,5.8,2.0,4.3,4.6,..
Thailand,4.5,3.4,6.1,7.2,6.3,4.2,5.0,5.4,1.7,-0.7,,7.5,0.8,7.2,2.7,1.0,3.1,3.4,4.2,4.2,2.1,-6.1,1.5,2.6,..
Timor-Leste,..,16.4,-6.7,-2.2,0.4,3.0,-4.1,10.3,11.4,10.1,,9.3,6.0,4.9,3.1,4.5,2.8,3.4,-3.1,-0.7,23.4,32.0,5.3,-20.5,..
Togo,-0.8,0.8,3.8,6.7,-1.0,-4.7,2.7,-1.2,4.0,5.5,,5.9,5.8,6.3,5.8,5.6,5.5,4.2,4.0,4.8,4.9,2.2,6.0,5.8,..
Tonga,0.9,3.7,4.8,2.3,-2.4,0.1,-0.1,0.3,4.8,-5.2,,0.8,6.8,0.8,0.3,2.0,1.2,6.6,3.3,0.2,0.7,0.5,-2.7,..,..
Trinidad and Tobago,6.9,4.2,7.9,14.4,8.0,6.2,13.2,4.8,3.4,-4.4,,3.3,-0.3,7.4,3.5,3.9,-0.8,-7.5,-4.8,-0.6,0.4,-9.1,-1.0,1.5,..
Tunisia,4.7,3.8,1.3,4.7,6.2,3.5,5.2,6.7,4.2,3.0,,3.0,-2.0,4.2,2.4,3.1,1.0,1.1,2.2,2.6,1.6,-8.8,4.4,2.4,..
Turkiye,6.9,-5.8,6.4,5.8,9.8,9.0,6.9,5.0,0.8,-4.8,,8.4,11.2,4.8,8.5,4.9,6.1,3.3,7.5,3.0,0.8,1.9,11.4,5.5,..
Turkmenistan,5.5,4.3,0.3,3.3,5.0,13.0,11.0,11.1,14.7,6.1,,9.2,14.7,11.1,10.2,10.3,6.5,6.2,6.5,6.2,6.3,-3.4,4.5,1.7,..
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,,..,..,-1.0,1.1,8.7,11.3,7.3,-2.5,5.6,5.3,-26.8,9.0,6.2,..
Tuvalu,-1.0,0.0,9.5,-4.3,-2.3,-4.7,2.4,7.1,6.7,-6.3,,-2.2,6.8,-2.1,4.3,0.0,10.4,5.7,2.4,1.4,13.8,-4.3,1.8,0.7,..
Uganda,3.1,5.2,8.7,6.5,6.8,6.3,10.8,8.4,8.7,6.8,,5.6,9.4,3.8,3.6,5.1,5.2,4.8,3.1,6.3,6.4,3.0,3.5,4.6,..
Ukraine,5.9,8.8,5.3,9.5,11.8,3.1,7.6,8.2,2.2,-15.1,,4.1,5.4,0.2,0.0,-10.1,-9.8,2.4,2.4,3.5,3.2,-3.8,3.4,-29.1,..
United Arab Emirates,10.9,1.4,2.4,8.8,9.6,4.9,9.8,3.2,3.2,-5.2,,1.6,6.2,1.8,5.1,4.2,6.8,5.6,0.7,1.3,1.1,-5.0,4.4,7.9,..
United Kingdom,4.3,2.6,1.8,3.1,2.4,2.7,2.4,2.6,-0.2,-4.6,,2.2,1.1,1.5,1.8,3.2,2.2,1.9,2.7,1.4,1.6,-10.4,8.7,4.3,..
United States,4.1,1.0,1.7,2.8,3.9,3.5,2.8,2.0,0.1,-2.6,,2.7,1.5,2.3,1.8,2.3,2.7,1.7,2.2,2.9,2.3,-2.8,5.9,1.9,..
Uruguay,-1.9,-3.8,-7.7,0.8,5.0,7.5,4.1,6.5,7.2,4.2,,7.8,5.2,3.5,4.6,3.2,0.4,1.7,1.7,0.2,0.7,-6.3,5.3,4.9,..
Uzbekistan,3.8,4.2,4.0,4.2,7.4,7.0,7.5,9.5,9.0,8.1,,7.6,7.5,7.1,7.3,6.9,7.2,5.9,4.4,5.9,6.0,2.0,7.4,5.7,..
Vanuatu,5.9,-3.4,-5.2,4.3,4.0,5.3,8.5,2.9,5.6,3.0,,1.3,3.1,1.0,0.5,3.1,0.4,4.7,6.3,2.9,3.2,-5.0,0.6,1.8,..
"Venezuela, RB",3.7,3.4,-8.9,-7.8,18.3,10.3,9.9,8.8,5.3,-3.2,,-1.5,4.2,5.6,1.3,-3.9,..,..,..,..,..,..,..,..,..
Viet Nam,6.8,6.2,6.3,6.9,7.5,7.5,7.0,7.1,5.7,5.4,,6.4,6.4,5.5,5.6,6.4,7.0,6.7,6.9,7.5,7.4,2.9,2.6,8.0,..
Virgin Islands (U.S.),..,..,..,-0.4,3.3,3.5,3.5,4.0,1.2,-6.6,,0.6,-8.2,-14.8,-6.3,-1.8,-0.4,1.6,-0.7,1.9,2.9,-1.9,2.9,..,..
West Bank and Gaza,-8.6,-9.3,-12.5,14.0,21.9,11.3,-1.0,3.8,7.4,8.6,,5.8,9.6,6.1,4.7,-0.2,3.7,8.9,1.4,1.2,1.4,-11.3,7.0,3.9,..
"Yemen, Rep.",6.2,3.8,3.9,3.7,4.0,5.6,3.2,3.3,3.6,3.9,,7.7,-12.7,2.4,4.8,-0.2,-28.0,-9.4,-5.1,0.8,..,..,..,..,..
Zambia,3.9,5.3,4.5,6.9,7.0,7.2,7.9,8.4,7.8,9.2,,10.3,5.6,7.6,5.1,4.7,2.9,3.8,3.5,4.0,1.4,-2.8,6.2,5.2,..
Zimbabwe,-3.1,1.4,-8.9,-17.0,-5.8,-5.7,-3.5,-3.7,-17.7,12.0,,21.5,14.6,15.7,3.2,1.5,2.0,0.9,4.1,5.0,-6.3,-7.8,8.5,6.5,..
"Created from: World Development Indicators
Series : GDP growth (annual %)



",,,,,,,,,,,,,,,,,,,,,,,,,
